Category,Threes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Double Doubles,Off Rebounds,Def Rebounds,Field Goals Made,Free Throws Made,Field Goal %,Free Throw %,Three %,Assist to TO
Assist to TO,0.015108400345172013,0.002169900117626401,0.00041553161782336177,0.38376979194366684,0.008280792703292171,-0.043714834342651776,-0.6094276738369516,0.10019708550279922,-0.032063020310470064,0.009670636600882647,0.005406371860932554,-0.01047564229895032,-0.03887302845776336,0.03187585075329532,-0.014628213254149501,1.0
Assists,0.4023324743233284,0.5933837781332866,0.5766279772479233,1.0,0.37993711722260226,0.24989646513566485,0.44602816631935494,0.38558527805496573,0.3351448517949852,0.5665425089967987,0.5856110666310744,0.37735396036479885,0.02650444237599313,0.025698288692557664,-0.002444687248998763,0.38376979194366684
Blocks,0.2184656027421381,0.3499737941293895,0.3350605206212991,0.24989646513566485,0.19963318153216916,1.0,0.24346857960295432,0.14397627155618617,0.2068094692998896,0.3272663149173352,0.3438720874686112,0.2256444112798965,0.08346112394718865,-0.030824012716594112,0.012704358720364373,-0.043714834342651776
Def Rebounds,0.4154334055228772,0.6556021335236881,0.9537520185324218,0.5665425089967987,0.3652219136465707,0.3272663149173352,0.46290238476760154,0.48153028808792103,0.39504640550606734,1.0,0.6485780316672253,0.43065938566079315,0.07547540691007454,0.00754463719037765,-0.0012382426946256548,0.009670636600882647
Double Doubles,0.16103917775410784,0.3659041184581244,0.5152940737890849,0.38558527805496573,0.18780486020245632,0.14397627155618617,0.25011120802931547,1.0,0.3729048076655024,0.48153028808792103,0.36107926080904884,0.25888634705382946,0.07560996459526627,0.022529196037593492,-0.010725080545526568,0.10019708550279922
Field Goal %,0.24477599756935361,0.37122084323916543,0.057541629123429784,0.02650444237599313,0.03367281538295971,0.08346112394718865,0.05248781159703513,0.07560996459526627,0.0008474742645756982,0.07547540691007454,0.41150462416499484,0.05389999591024729,1.0,0.009526644474101694,0.4976649769337461,-0.03887302845776336
Field Goals Made,0.6789228418014144,0.9767151996005918,0.6842542050114467,0.5856110666310744,0.4121300323729541,0.3438720874686112,0.4882824885285797,0.36107926080904884,0.4566177281784925,0.6485780316672253,1.0,0.48544864568486035,0.41150462416499484,0.026252735612506746,0.21510764308252125,0.005406371860932554
Free Throw %,0.024238230040408003,0.09198636773312045,0.004571497420806348,0.025698288692557664,0.0022297814329329934,-0.030824012716594112,0.0043598776605251405,0.022529196037593492,-0.017095011335494275,0.00754463719037765,0.026252735612506746,0.33124087657422135,0.009526644474101694,1.0,0.02117408712695126,0.03187585075329532
Free Throws Made,0.2739971484831129,0.630266928083489,0.4586631386937418,0.37735396036479885,0.26371708624056334,0.2256444112798965,0.327421805061566,0.25888634705382946,0.3179776350094925,0.43065938566079315,0.48544864568486035,1.0,0.05389999591024729,0.33124087657422135,-0.013665850445926461,-0.01047564229895032
Off Rebounds,0.23619000816472588,0.46074734097735814,0.6357607790726342,0.3351448517949852,0.23755007117705432,0.2068094692998896,0.30582157643191876,0.3729048076655024,1.0,0.39504640550606734,0.4566177281784925,0.3179776350094925,0.0008474742645756982,-0.017095011335494275,-0.016251435580330657,-0.032063020310470064
Points,0.7166451082222841,1.0,0.6912066159084879,0.5933837781332866,0.4163581734738638,0.3499737941293895,0.49810021266607524,0.3659041184581244,0.46074734097735814,0.6556021335236881,0.9767151996005918,0.630266928083489,0.37122084323916543,0.09198636773312045,0.24738272580281656,0.002169900117626401
Rebounds,0.4216338280291565,0.6912066159084879,1.0,0.5766279772479233,0.37837363567851223,0.3350605206212991,0.4811756758335578,0.5152940737890849,0.6357607790726342,0.9537520185324218,0.6842542050114467,0.4586631386937418,0.057541629123429784,0.004571497420806348,-0.008529189258411188,0.00041553161782336177
Steals,0.27727372957263874,0.4163581734738638,0.37837363567851223,0.37993711722260226,1.0,0.19963318153216916,0.32097669180216,0.18780486020245632,0.23755007117705432,0.3652219136465707,0.4121300323729541,0.26371708624056334,0.03367281538295971,0.0022297814329329934,0.003961695582301919,0.008280792703292171
Three %,0.6312981650537768,0.24738272580281656,-0.008529189258411188,-0.002444687248998763,0.003961695582301919,0.012704358720364373,0.015593403783229867,-0.010725080545526568,-0.016251435580330657,-0.0012382426946256548,0.21510764308252125,-0.013665850445926461,0.4976649769337461,0.02117408712695126,1.0,-0.014628213254149501
Threes,1.0,0.7166451082222841,0.4216338280291565,0.4023324743233284,0.27727372957263874,0.2184656027421381,0.33394836586733534,0.16103917775410784,0.23619000816472588,0.4154334055228772,0.6789228418014144,0.2739971484831129,0.24477599756935361,0.024238230040408003,0.6312981650537768,0.015108400345172013
Turnovers,0.33394836586733534,0.49810021266607524,0.4811756758335578,0.44602816631935494,0.32097669180216,0.24346857960295432,1.0,0.25011120802931547,0.30582157643191876,0.46290238476760154,0.4882824885285797,0.327421805061566,0.05248781159703513,0.0043598776605251405,0.015593403783229867,-0.6094276738369516
