N,EV(X),VAR(X)
1,0,1
2,0.564189584,0.681690114
3,0.846284375,0.559467204
4,1.029375373,0.491715237
5,1.162964474,0.447534069
6,1.267206361,0.415927109
7,1.352178376,0.391917777
8,1.423600306,0.372897143
9,1.485013162,0.357353326
10,1.538752731,0.344343823
11,1.586436352,0.333247443
12,1.62922764,0.323636387
13,1.667990177,0.315205384
14,1.703381554,0.307730102
15,1.735913445,0.30103157
16,1.766991393,0.291476826
17,1.793941081,0.289536233
18,1.820031879,0.28453013
19,1.844481512,0.279935805
20,1.86747506,0.275696616
